Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
145935538786259,Hyundai France,These ads ran without a disclaimer,76213.0,21
610275735795477,Kinder Joy of moving,Ferrero France Commerciale,74878.0,4
323618734452141,Brief.me,Brief.me,74761.0,58
2420487738043690,Energie-solaire.io,Dolead,74754.0,756
43083507654,Enercoop,Enercoop,74366.0,366
137102989708866,Fondation Jérôme Lejeune,Fondation Jérôme Lejeune,73307.0,1154
528000693909356,Rôle Energies,These ads ran without a disclaimer,73285.0,19
145392792632,WWF-France,WWF France,73130.0,224
544425445579374,L'Œuvre d'Orient,L'Œuvre d'Orient,72187.0,500
1620638098209175,SOS MEDITERRANEE France,SOS MEDITERRANEE France,71595.0,408
111813051744,ACTION ENFANCE,ACTION ENFANCE,71479.0,166
278422012257681,Le Pacte,Le Pacte,70014.0,1044
500437833654583,Agence française pour la biodiversité,Agence française pour la biodiversité,70000.0,13
26907085049,Scouts et Guides de France,Scouts et Guides de France,69960.0,185
173257392750594,Commission européenne en France,Commission européenne en France,69762.0,119
1642011509390003,Wizbii Money,Wizbii,69026.0,296
775873105906446,TENA Femmes,Essity France,67291.0,5
103256579016125,Amplify en France,Amplify France,66260.0,40
321102471315265,Elues Locales,Elueslocales.fr,66016.0,504
121852905877303,900.care,Aymeric Grange,65527.0,160
170791994261,Audi France,Audi France,64497.0,3
107808105469097,La Dianétique - France,Digitalis,64183.0,81
166144589923926,au courant,au courant,63857.0,332
128938130499216,Fepem - Fédération des particuliers employeurs de France,FEPEM,63767.0,1113
1815507421886752,Les primes énergie FR,Primes Energetiques,63696.0,880
353545561433190,Almo Nature,Almo Nature,63259.0,62
816074091903635,Comme Avant,Comme Avant,63214.0,1368
631909843561408,Nespresso,Nespresso,62859.0,9
100561919085629,Ma Prime Solaire,These ads ran without a disclaimer,62688.0,31
201716123952571,Mon épargne et moi,Natixis Investment Managers,62475.0,1055
911701392321382,Les Artisans Eco,These ads ran without a disclaimer,61675.0,22
168901966533877,Institut Montaigne,Institut Montaigne,61154.0,776
128876393864352,Ligue 1 McDonald's,LIGUE DE FOOTBALL PROFESSIONNEL,60000.0,30
721882314614976,Franceemploidomicile,FEPEM,59914.0,545
1539166179460431,Isolation et Ravalement,These ads ran without a disclaimer,58917.0,95
110844793649736,Ekoblue,Ekoblue,58719.0,375
128829237956,easyJet,easyJet,58519.0,1
301330928866,IVG : vous hésitez ? Venez en parler !,IVG : vous hésitez ? Venez en parler !,58480.0,321
173206532693654,VELUX,VELUX,58112.0,57
279472026328475,Pompe A Chaleur Aides.com,LA PLATEFORME DU LEAD,57901.0,147
492173710794876,Institut Pasteur,Institut Pasteur,57866.0,488
446043358936202,Climb,These ads ran without a disclaimer,57132.0,114
105709216127942,Crédit Coopératif,Crédit Coopératif,56968.0,72
28312410177,World Food Programme,These ads ran without a disclaimer,55474.0,260
104559131401402,ARS Hauts-de-France,Agence Régionale de Santé des Hauts-de-France,55296.0,9
154763104543358,World Vision France,Vision du Monde,55116.0,899
115262603249034,Le Déclic Community,WeTechCare,54768.0,116
206816856023737,BIODERMA,BIODERMA,54480.0,131
126664467395166,Fédération Française des Diabétiques,Fédération française des diabétiques,54387.0,204
172991730153781,Energies subventions,David Itah,54331.0,113
424922021243063,Loopsider,Loopsider,54060.0,192
2181830098768270,Saint-Gobain,COMPAGNIE DE SAINT-GOBAIN,54000.0,12
103137082036088,Mon projet solaire avec EDF solutions solaires,Dolead,53687.0,54
119691496094990,Omi,Omi SAS,53505.0,10
1717696765155553,Veolia Eau d'Ile-de-France,Veolia Eau d'Ile-de-France,53383.0,97
101714984908382,Masque Protector,SONICS,52755.0,50
1464656390521290,EtudiantGouv,EtudiantGouv,52297.0,4
32469808966,SOS Villages d'Enfants (France),SOS Villages d'Enfants (France),51937.0,856
197118360320055,ONE France,ONE Fr,51529.0,379
360242054162337,Ooinvestir,Ooinvestir,50883.0,59
35366632548,CFDT,CFDT,50683.0,470
106117859442264,Chilly's,These ads ran without a disclaimer,50618.0,14
301330928866,IVG : vous hésitez ? Venez en parler !,SOS détresse,50573.0,281
108617524393838,Ma Mutuelle,These ads ran without a disclaimer,50181.0,28
677902065668703,Fondation des Femmes,Fondation des Femmes,49885.0,182
112558237309147,iji.eco,iji.eco,49845.0,132
110490484906150,La France aux urnes,Renaissance,49651.0,45
103146727990,Ministère de l'Intérieur et des Outre-mer,Ministère de l'Intérieur,49128.0,13
174152456808,Welfarm,Welfarm,48273.0,1230
323114175072803,Pompe à Chaleur à 1€,These ads ran without a disclaimer,48219.0,19
384955301529344,Institut du Cerveau - Paris Brain Institute,ICM - Institut du Cerveau et de la Moelle épinière,46674.0,392
229791257568789,Assureur Français,These ads ran without a disclaimer,46567.0,5
124743098139710,Alternativi,Jean Belhache,45862.0,268
426045577958757,Prime Énergie,These ads ran without a disclaimer,45570.0,14
1466667490217580,Arp Sélection,ARP Sélection,45429.0,283
364959206939410,ACAT France,ACAT France,45144.0,1221
287465005451475,Meilleur Habitat De France,LA PLATEFORME DU LEAD,45142.0,72
851976621630627,Eco-Astuce.com,These ads ran without a disclaimer,44709.0,55
108617820801441,Masque XIX,Solfra,44288.0,98
241694996718264,NF Habitat,Cerqual,43770.0,209
101913792744033,Ma maison pour l’hiver,Ma maison pour l’hiver,43690.0,113
100146088639717,Orphéopolis,Orpheopolis,43316.0,297
107514721572444,Stop Fake Renewables,Stop Fake Renewables,42801.0,104
1545035889067061,LITA.co France,LITA.co France,42737.0,553
463705930368887,Réseau Action Climat,Réseau Action Climat,42567.0,674
146908632092802,Métropole de Lyon,Métropole de Lyon,41481.0,46
110000413816860,Mes-Soutiens - HCR France,Orixa Media,41307.0,1514
2424950557563209,makesense,makesense,40847.0,1653
130606440325044,Macif,MACIF,40692.0,79
2395811333779238,Learn Immo,These ads ran without a disclaimer,40617.0,38
104337448558687,Association Des Énergies Renouvelables,These ads ran without a disclaimer,40560.0,10
162383987105585,Association Valentin Haüy - AVH,Association Valentin Haüy - AVH,40228.0,108
9328458887,adidas Originals,adidas France,39948.0,5
314443337102,GRDF,These ads ran without a disclaimer,39920.0,44
485210918314778,Président,These ads ran without a disclaimer,39644.0,1
61952884477,Sarenza,Sarenza,39509.0,65
265420476920,Médecins du Monde France,These ads ran without a disclaimer,39308.0,920
305982272814433,Jean Paul Garraud,Jean Paul Garraud,39047.0,437
2002323729992518,Planète Panda,BARBIER QUENTIN,39002.0,657
100447608948054,RECONQUÊTE,Reconquête!,38864.0,113
107223990753521,Office français de la biodiversité,Office français de la biodiversité,38580.0,2
380039845369159,SHEIN,These ads ran without a disclaimer,38240.0,2
147547541961576,Council of the European Union,Council of the European Union,38122.0,1314
123910440019,Renew Europe,Renew Europe Group,37345.0,56
319577888807977,Vattenfall,Vattenfall France,37252.0,417
1620332214871397,Biotyfull Box,These ads ran without a disclaimer,37168.0,4
54568872127,Association Un enfant par la main,Un Enfant par la Main,37028.0,919
139957696020854,PYRAMIDE DISTRIBUTION,PYRAMIDE DISTRIBUTION,36913.0,802
1830048580344520,Santé publique France,Santé Publique France,36823.0,18
350866824756,L214 Ethique et Animaux,L214 Ethique et Animaux,36812.0,69
2009430405846153,Canada Immigration Express,These ads ran without a disclaimer,36729.0,16
239762692740931,Les entreprises du médicament,Le médicament et moi,36586.0,58
283023079280975,Love Beauty & Planet,Unilever France,36339.0,11
677902065668703,Fondation des Femmes,Fondation des femmes avec des coupons publicitaires Facebook,36037.0,130
123674940994027,Revue Esprit,Revue Esprit,36021.0,473
139719006082496,Husqvarna,Husqvarna,35977.0,102
113183856757963,Bigben.connected,Margaux Butterlin,35552.0,1785
159828091120,Solidarités International,Solidarités International,35285.0,231
392341217527576,Gouvernement,These ads ran without a disclaimer,35161.0,88
108943410672988,SPRiNG,These ads ran without a disclaimer,35039.0,22
130606440325044,Macif,These ads ran without a disclaimer,34974.0,71
130935260328658,Première Urgence Internationale,Première Urgence Internationale,34941.0,95
109446727137249,Les Copros Vertes,FNAIM,34760.0,243
101221238456688,Plan transition énergie,These ads ran without a disclaimer,34708.0,52
